Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
322958.2307,0.122010147,-46.81283847,-173.3699358
344886.347,0.125350955,-49.01748943,-178.4499941
368303.3317,0.119747663,-49.62918341,-177.5836543
393310.2754,0.113493929,-51.04023189,-177.9066512
420015.1327,0.09982259,-51.81695152,-175.4043231
448533.188,0.099348785,-53.69800072,-172.2376246
478987.5533,0.09302482,-54.34515366,-174.695471
511509.6995,0.08285921,-55.47822415,-170.0009646
546240.0241,0.075757619,-57.4764435,-176.7798214
583328.4573,0.069472557,-58.01766232,-173.5328025
622935.1094,0.06299866,-57.8220271,-172.9859854
665230.9614,0.037280706,-60.16156279,179.8322433
710398.6039,0.047227648,-61.17213466,-174.5695395
758633.0248,0.040042907,-61.19104319,174.1393778
810142.4512,0.029290399,-63.92605962,-166.4021951
865149.2484,0.024109883,-64.69548329,173.8673637
923890.8799,0.016656117,-64.66765345,-168.4474351
986620.9321,0.008386812,-65.69374558,177.5906904
1053610.21,-0.002136298,-65.85553607,-158.6057471
1125147.904,-0.008835783,-69.91907275,-156.9527279
1201542.843,-0.0270857,-68.31832788,-157.5911759
1283124.82,-0.031374451,-74.81819614,160.9015969
1370246.026,-0.04246323,-70.29541811,163.6265349
1463282.559,-0.056330024,-79.87009614,-115.400803
1562636.058,-0.071560137,-90.88880186,163.5165908
1668735.429,-0.086057694,-83.8648114,-104.5124787
1782038.702,-0.105839812,-93.6840969,25.64627762
1903035.005,-0.127769318,-81.57132614,-135.1185529
