Frequency (Hz),Magnitude (dB),Phase (degrees)
13.99587323,13.97941851,-0.053206781
14.02813705,13.97941859,-0.053329436
14.06047524,13.97941868,-0.053452374
14.09288798,13.97941876,-0.053575595
14.12537545,13.97941885,-0.0536991
14.1579378,13.97941894,-0.05382289
14.19057522,13.97941902,-0.053946965
14.22328787,13.97941911,-0.054071326
14.25607594,13.9794192,-0.054195974
14.28893959,13.97941929,-0.054320909
14.32187899,13.97941937,-0.054446132
14.35489433,13.97941946,-0.054571644
14.38798578,13.97941955,-0.054697446
14.42115352,13.97941964,-0.054823537
14.45439771,13.97941973,-0.054949919
14.48771854,13.97941982,-0.055076592
14.52111618,13.97941992,-0.055203557
14.55459081,13.97942001,-0.055330815
14.5881426,13.9794201,-0.055458367
14.62177174,13.97942019,-0.055586212
14.65547841,13.97942028,-0.055714352
14.68926278,13.97942038,-0.055842787
14.72312502,13.97942047,-0.055971519
14.75706533,13.97942056,-0.056100547
14.79108388,13.97942066,-0.056229873
14.82518085,13.97942075,-0.056359497
14.85935642,13.97942085,-0.05648942
14.89361078,13.97942095,-0.056619642
14.9279441,13.97942104,-0.056750164
14.96235656,13.97942114,-0.056880988
14.99684836,13.97942124,-0.057012113
15.03141966,13.97942133,-0.05714354
15.06607066,13.97942143,-0.05727527
15.10080154,13.97942153,-0.057407304
15.13561248,13.97942163,-0.057539642
15.17050367,13.97942173,-0.057672285
15.2054753,13.97942183,-0.057805234
15.24052754,13.97942193,-0.05793849
15.27566058,13.97942203,-0.058072053
15.31087462,13.97942213,-0.058205923
15.34616983,13.97942223,-0.058340102
15.3815464,13.97942233,-0.058474591
15.41700453,13.97942244,-0.05860939
15.4525444,13.97942254,-0.058744499
15.48816619,13.97942264,-0.05887992
15.5238701,13.97942275,-0.059015653
15.55965632,13.97942285,-0.059151699
15.59552503,13.97942296,-0.059288058
15.63147643,13.97942306,-0.059424732
15.6675107,13.97942317,-0.059561721
15.70362804,13.97942328,-0.059699026
15.73982864,13.97942338,-0.059836647
15.7761127,13.97942349,-0.059974585
15.81248039,13.9794236,-0.060112842
15.84893192,13.97942371,-0.060251417
15.88546749,13.97942382,-0.060390312
15.92208727,13.97942393,-0.060529527
15.95879147,13.97942404,-0.060669063
15.99558029,13.97942415,-0.06080892
16.03245391,13.97942426,-0.0609491
16.06941253,13.97942437,-0.061089603
16.10645635,13.97942448,-0.06123043
16.14358557,13.97942459,-0.061371581
16.18080038,13.97942471,-0.061513058
16.21810097,13.97942482,-0.061654861
16.25548756,13.97942493,-0.061796991
16.29296033,13.97942505,-0.061939449
16.33051948,13.97942516,-0.062082235
16.36816521,13.97942528,-0.06222535
16.40589773,13.9794254,-0.062368796
16.44371723,13.97942551,-0.062512571
16.48162392,13.97942563,-0.062656679
16.51961798,13.97942575,-0.062801118
16.55769963,13.97942587,-0.062945891
16.59586907,13.97942599,-0.063090997
16.6341265,13.97942611,-0.063236437
16.67247213,13.97942623,-0.063382213
16.71090614,13.97942635,-0.063528325
16.74942876,13.97942647,-0.063674774
16.78804018,13.97942659,-0.063821561
16.82674061,13.97942671,-0.063968686
16.86553025,13.97942683,-0.06411615
16.90440932,13.97942696,-0.064263954
16.943378,13.97942708,-0.064412098
16.98243652,13.97942721,-0.064560585
17.02158508,13.97942733,-0.064709413
17.06082389,13.97942746,-0.064858585
17.10015315,13.97942758,-0.0650081
17.13957308,13.97942771,-0.06515796
17.17908387,13.97942784,-0.065308166
17.21868575,13.97942797,-0.065458718
17.25837892,13.9794281,-0.065609617
17.29816359,13.97942822,-0.065760864
17.33803998,13.97942835,-0.065912459
17.37800829,13.97942848,-0.066064404
17.41806873,13.97942862,-0.066216699
17.45822153,13.97942875,-0.066369346
17.49846689,13.97942888,-0.066522344
17.53880502,13.97942901,-0.066675695
17.57923614,13.97942915,-0.066829399
17.61976046,13.97942928,-0.066983458
17.66037821,13.97942942,-0.067137872
17.70108958,13.97942955,-0.067292642
17.74189481,13.97942969,-0.067447769
17.7827941,13.97942982,-0.067603253
17.82378767,13.97942996,-0.067759096
17.86487575,13.9794301,-0.067915298
17.90605854,13.97943024,-0.06807186
17.94733627,13.97943038,-0.068228783
17.98870915,13.97943052,-0.068386067
18.03017741,13.97943066,-0.068543715
18.07174126,13.9794308,-0.068701726
18.11340093,13.97943094,-0.068860101
18.15515663,13.97943108,-0.069018841
18.19700859,13.97943122,-0.069177947
18.23895702,13.97943137,-0.06933742
18.28100216,13.97943151,-0.06949726
18.32314422,13.97943166,-0.069657469
18.36538343,13.9794318,-0.069818047
18.40772001,13.97943195,-0.069978996
18.45015419,13.9794321,-0.070140315
18.49268619,13.97943224,-0.070302007
18.53531623,13.97943239,-0.070464071
18.57804455,13.97943254,-0.070626509
18.62087137,13.97943269,-0.070789321
18.66379691,13.97943284,-0.070952509
18.7068214,13.97943299,-0.071116072
18.74994508,13.97943315,-0.071280013
18.79316817,13.9794333,-0.071444332
18.83649089,13.97943345,-0.071609029
18.87991349,13.97943361,-0.071774107
18.92343619,13.97943376,-0.071939564
18.96705921,13.97943392,-0.072105404
19.0107828,13.97943407,-0.072271625
19.05460718,13.97943423,-0.07243823
19.09853259,13.97943439,-0.072605219
19.14255925,13.97943454,-0.072772592
19.18668741,13.9794347,-0.072940352
19.23091729,13.97943486,-0.073108498
19.27524913,13.97943502,-0.073277032
19.31968317,13.97943519,-0.073445955
19.36421964,13.97943535,-0.073615267
19.40885878,13.97943551,-0.073784969
19.45360082,13.97943567,-0.073955062
19.498446,13.97943584,-0.074125548
19.54339456,13.979436,-0.074296426
19.58844674,13.97943617,-0.074467699
19.63360277,13.97943634,-0.074639366
19.6788629,13.9794365,-0.074811429
19.72422736,13.97943667,-0.074983889
19.7696964,13.97943684,-0.075156746
19.81527026,13.97943701,-0.075330002
19.86094917,13.97943718,-0.075503657
19.90673339,13.97943735,-0.075677712
19.95262315,13.97943752,-0.075852169
19.9986187,13.9794377,-0.076027028
20.04472027,13.97943787,-0.07620229
20.09092813,13.97943804,-0.076377956
20.1372425,13.97943822,-0.076554027
20.18366364,13.97943839,-0.076730504
20.23019179,13.97943857,-0.076907388
20.2768272,13.97943875,-0.077084679
20.32357011,13.97943893,-0.07726238
20.37042078,13.97943911,-0.07744049
20.41737945,13.97943929,-0.07761901
20.46444637,13.97943947,-0.077797942
20.51162179,13.97943965,-0.077977287
20.55890596,13.97943983,-0.078157045
20.60629913,13.97944002,-0.078337217
20.65380156,13.9794402,-0.078517805
20.70141349,13.97944039,-0.078698809
20.74913517,13.97944057,-0.07888023
20.79696687,13.97944076,-0.079062069
20.84490883,13.97944095,-0.079244328
20.89296131,13.97944113,-0.079427007
20.94112456,13.97944132,-0.079610107
20.98939884,13.97944151,-0.079793629
21.0377844,13.97944171,-0.079977574
21.0862815,13.9794419,-0.080161944
21.1348904,13.97944209,-0.080346738
21.18361135,13.97944228,-0.080531958
21.23244462,13.97944248,-0.080717605
21.28139046,13.97944268,-0.080903681
21.33044913,13.97944287,-0.081090185
21.3796209,13.97944307,-0.081277119
21.42890601,13.97944327,-0.081464484
21.47830474,13.97944347,-0.081652281
21.52781735,13.97944367,-0.081840511
21.57744409,13.97944387,-0.082029175
21.62718524,13.97944407,-0.082218274
21.67704105,13.97944427,-0.082407809
21.72701179,13.97944448,-0.08259778
21.77709772,13.97944468,-0.08278819
21.82729912,13.97944489,-0.082979039
21.87761624,13.97944509,-0.083170327
21.92804935,13.9794453,-0.083362057
21.97859873,13.97944551,-0.083554228
22.02926463,13.97944572,-0.083746843
22.08004733,13.97944593,-0.083939901
22.1309471,13.97944614,-0.084133405
22.1819642,13.97944636,-0.084327355
22.23309891,13.97944657,-0.084521752
22.28435149,13.97944678,-0.084716597
22.33572223,13.979447,-0.084911891
22.38721139,13.97944722,-0.085107635
22.43881924,13.97944743,-0.085303831
22.49054606,13.97944765,-0.085500479
22.54239212,13.97944787,-0.08569758
22.5943577,13.97944809,-0.085895136
22.64644308,13.97944831,-0.086093147
22.69864852,13.97944854,-0.086291614
22.75097431,13.97944876,-0.086490539
22.80342072,13.97944898,-0.086689923
22.85598803,13.97944921,-0.086889766
22.90867653,13.97944944,-0.08709007
22.96148648,13.97944967,-0.087290836
23.01441817,13.97944989,-0.087492065
23.06747189,13.97945012,-0.087693757
23.1206479,13.97945035,-0.087895915
23.1739465,13.97945059,-0.088098538
23.22736796,13.97945082,-0.088301629
23.28091258,13.97945105,-0.088505188
23.33458062,13.97945129,-0.088709216
23.38837239,13.97945153,-0.088913714
23.44228815,13.97945176,-0.089118684
23.49632821,13.979452,-0.089324127
23.55049284,13.97945224,-0.089530043
23.60478233,13.97945248,-0.089736433
23.65919697,13.97945272,-0.0899433
23.71373706,13.97945297,-0.090150643
23.76840287,13.97945321,-0.090358465
23.82319469,13.97945346,-0.090566765
23.87811283,13.9794537,-0.090775546
23.93315756,13.97945395,-0.090984808
23.98832919,13.9794542,-0.091194552
24.043628,13.97945445,-0.09140478
24.09905429,13.9794547,-0.091615493
24.15460834,13.97945495,-0.091826691
24.21029047,13.9794552,-0.092038377
24.26610095,13.97945546,-0.09225055
24.32204009,13.97945571,-0.092463212
24.37810818,13.97945597,-0.092676365
24.43430553,13.97945623,-0.092890009
24.49063242,13.97945649,-0.093104146
24.54708916,13.97945675,-0.093318776
24.60367604,13.97945701,-0.093533901
24.66039337,13.97945727,-0.093749522
24.71724145,13.97945754,-0.09396564
24.77422058,13.9794578,-0.094182256
24.83133105,13.97945807,-0.094399372
24.88857318,13.97945834,-0.094616988
24.94594727,13.97945861,-0.094835106
25.00345362,13.97945888,-0.095053726
25.06109253,13.97945915,-0.095272851
25.11886432,13.97945942,-0.095492481
25.17676928,13.97945969,-0.095712617
25.23480772,13.97945997,-0.09593326
25.29297996,13.97946024,-0.096154413
25.3512863,13.97946052,-0.096376075
25.40972706,13.9794608,-0.096598248
25.46830253,13.97946108,-0.096820933
25.52701303,13.97946136,-0.097044132
25.58585887,13.97946165,-0.097267845
25.64484037,13.97946193,-0.097492074
25.70395783,13.97946222,-0.09771682
25.76321157,13.9794625,-0.097942084
25.82260191,13.97946279,-0.098167867
25.88212915,13.97946308,-0.098394171
25.94179362,13.97946337,-0.098620997
26.00159563,13.97946366,-0.098848345
26.0615355,13.97946396,-0.099076217
26.12161354,13.97946425,-0.099304615
26.18183008,13.97946455,-0.09953354
26.24218543,13.97946484,-0.099762992
26.30267992,13.97946514,-0.099992973
26.36331386,13.97946544,-0.100223484
26.42408757,13.97946575,-0.100454527
